Year,Wind speed^2
1995,0.0
1996,0.0
1997,0.0
1998,1521.0
1998,1521.0
1999,16900.0
2000,0.0
2001,0.0
2002,1521.0
2002,1.0
2003,5476.0
2004,0.0
2005,0.0
2006,0.0
2007,1521.0
2008,9216.0
2009,0.0
2010,1521.0
2011,1521.0
2012,0.0
2013,0.0
2014,0.0
2015,1521.0
