date,hospital_onset_covid
2020/09/05,857.0
2020/09/06,788.0
2020/09/07,792.0
2020/09/08,840.0
2020/09/09,889.0
2020/09/10,870.0
2020/09/11,874.0
2020/09/12,870.0
2020/09/13,848.0
2020/09/14,850.0
2020/09/15,951.0
2020/09/16,951.0
2020/09/17,960.0
2020/09/18,977.0
2020/09/19,985.0
2020/09/20,955.0
2020/09/21,933.0
2020/09/22,945.0
2020/09/23,952.0
2020/09/24,966.0
2020/09/25,964.0
2020/09/26,957.0
2020/09/27,946.0
2020/09/28,955.0
2020/09/29,979.0
2020/09/30,1011.0
2020/10/01,984.0
2020/10/02,1054.0
2020/10/03,983.0
2020/10/04,994.0
2020/10/05,1017.0
2020/10/06,1037.0
2020/10/07,1040.0
2020/10/08,1092.0
2020/10/09,1094.0
2020/10/10,1118.0
2020/10/11,986.0
2020/10/12,962.0
2020/10/13,969.0
2020/10/14,1095.0
2020/10/15,1046.0
2020/10/16,1068.0
2020/10/17,1080.0
2020/10/18,1062.0
2020/10/19,1042.0
2020/10/20,1336.0
2020/10/21,1295.0
2020/10/22,1333.0
2020/10/23,1347.0
2020/10/24,1255.0
2020/10/25,1281.0
2020/10/26,1207.0
2020/10/27,1233.0
2020/10/28,959.0
2020/10/29,980.0
2020/10/30,1015.0
2020/10/31,986.0
2020/11/01,988.0
2020/11/02,955.0
2020/11/03,916.0
2020/11/04,1093.0
2020/11/05,1191.0
2020/11/06,1235.0
2020/11/07,1196.0
2020/11/08,1178.0
2020/11/09,1069.0
2020/11/10,1163.0
2020/11/11,1289.0
2020/11/12,1339.0
2020/11/13,1304.0
2020/11/14,1322.0
2020/11/15,1327.0
2020/11/16,1270.0
2020/11/17,1413.0
2020/11/18,1444.0
2020/11/19,1477.0
2020/11/20,1520.0
2020/11/21,1460.0
2020/11/22,1525.0
2020/11/23,1273.0
2020/11/24,1428.0
2020/11/25,1549.0
2020/11/26,1516.0
2020/11/27,1534.0
2020/11/28,1567.0
2020/11/29,1573.0
2020/11/30,1443.0
2020/12/01,1594.0
2020/12/02,1809.0
2020/12/03,1905.0
2020/12/04,1883.0
2020/12/05,1793.0
2020/12/06,1906.0
2020/12/07,1752.0
2020/12/08,1817.0
2020/12/09,2148.0
2020/12/10,2028.0
2020/12/11,2045.0
2020/12/12,2212.0
2020/12/13,2118.0
2020/12/14,1818.0
2020/12/15,1843.0
2020/12/16,2183.0
2020/12/17,2169.0
2020/12/18,2217.0
2020/12/19,2042.0
2020/12/20,2157.0
2020/12/21,1925.0
2020/12/22,2018.0
2020/12/23,2354.0
2020/12/24,2327.0
2020/12/25,2306.0
2020/12/26,2302.0
2020/12/27,2321.0
2020/12/28,2098.0
2020/12/29,2151.0
2020/12/30,2521.0
2020/12/31,2519.0
2021/01/01,2550.0
2021/01/02,2428.0
2021/01/03,2254.0
2021/01/04,2035.0
2021/01/05,2050.0
2021/01/06,2468.0
2021/01/07,2407.0
2021/01/08,2392.0
2021/01/09,2256.0
2021/01/10,2272.0
2021/01/11,2048.0
2021/01/12,2126.0
2021/01/13,2330.0
2021/01/14,2343.0
2021/01/15,2330.0
2021/01/16,2273.0
2021/01/17,2261.0
2021/01/18,2056.0
2021/01/19,2004.0
2021/01/20,2140.0
2021/01/21,2132.0
2021/01/22,2091.0
2021/01/23,2019.0
2021/01/24,2034.0
2021/01/25,1843.0
2021/01/26,1844.0
2021/01/27,1928.0
2021/01/28,1875.0
2021/01/29,1805.0
2021/01/30,1763.0
2021/01/31,1764.0
2021/02/01,1568.0
2021/02/02,1618.0
2021/02/03,1704.0
2021/02/04,1676.0
2021/02/05,1609.0
2021/02/06,1554.0
2021/02/07,1651.0
2021/02/08,1405.0
2021/02/09,1403.0
2021/02/10,1542.0
2021/02/11,1479.0
2021/02/12,1439.0
2021/02/13,1439.0
2021/02/14,1356.0
2021/02/15,1241.0
2021/02/16,1249.0
2021/02/17,1319.0
2021/02/18,1363.0
2021/02/19,1323.0
2021/02/20,1238.0
2021/02/21,1213.0
2021/02/22,1124.0
2021/02/23,1165.0
2021/02/24,1225.0
2021/02/25,1159.0
2021/02/26,1163.0
2021/02/27,1106.0
2021/02/28,1108.0
2021/03/01,1021.0
2021/03/02,1061.0
2021/03/03,1146.0
2021/03/04,1115.0
2021/03/05,1094.0
2021/03/06,1078.0
2021/03/07,1047.0
2021/03/08,999.0
2021/03/09,995.0
2021/03/10,1019.0
2021/03/11,993.0
2021/03/12,976.0
2021/03/13,919.0
2021/03/14,934.0
2021/03/15,880.0
2021/03/16,896.0
2021/03/17,932.0
2021/03/18,899.0
2021/03/19,902.0
2021/03/20,900.0
2021/03/21,868.0
2021/03/22,833.0
2021/03/23,800.0
2021/03/24,881.0
2021/03/25,846.0
2021/03/26,860.0
2021/03/27,844.0
2021/03/28,863.0
2021/03/29,810.0
2021/03/30,842.0
2021/03/31,840.0
2021/04/01,811.0
2021/04/02,813.0
2021/04/03,776.0
2021/04/04,770.0
2021/04/05,779.0
2021/04/06,815.0
2021/04/07,875.0
2021/04/08,857.0
2021/04/09,892.0
2021/04/10,879.0
2021/04/11,885.0
2021/04/12,826.0
2021/04/13,862.0
2021/04/14,868.0
2021/04/15,876.0
2021/04/16,893.0
2021/04/17,862.0
2021/04/18,870.0
2021/04/19,821.0
2021/04/20,822.0
2021/04/21,837.0
2021/04/22,837.0
2021/04/23,830.0
2021/04/24,856.0
2021/04/25,892.0
2021/04/26,865.0
2021/04/27,891.0
2021/04/28,917.0
2021/04/29,882.0
2021/04/30,893.0
2021/05/01,911.0
2021/05/02,768.0
2021/05/03,779.0
2021/05/04,791.0
2021/05/05,848.0
2021/05/06,806.0
2021/05/07,763.0
2021/05/08,753.0
2021/05/09,741.0
2021/05/10,694.0
2021/05/11,735.0
2021/05/12,714.0
2021/05/13,716.0
2021/05/14,722.0
2021/05/15,686.0
2021/05/16,683.0
2021/05/17,657.0
2021/05/18,696.0
2021/05/19,695.0
2021/05/20,748.0
2021/05/21,727.0
2021/05/22,691.0
2021/05/23,694.0
2021/05/24,598.0
2021/05/25,656.0
2021/05/26,684.0
2021/05/27,616.0
2021/05/28,701.0
2021/05/29,709.0
2021/05/30,638.0
2021/05/31,620.0
2021/06/01,638.0
2021/06/02,694.0
2021/06/03,652.0
2021/06/04,627.0
2021/06/05,637.0
2021/06/06,640.0
2021/06/07,587.0
2021/06/08,572.0
2021/06/09,608.0
2021/06/10,577.0
2021/06/11,583.0
2021/06/12,606.0
2021/06/13,586.0
2021/06/14,525.0
2021/06/15,541.0
2021/06/16,580.0
2021/06/17,589.0
2021/06/18,565.0
2021/06/19,577.0
2021/06/20,535.0
2021/06/21,526.0
2021/06/22,545.0
2021/06/23,564.0
2021/06/24,520.0
2021/06/25,512.0
2021/06/26,540.0
2021/06/27,492.0
2021/06/28,477.0
2021/06/29,502.0
2021/06/30,546.0
2021/07/01,528.0
2021/07/02,562.0
2021/07/03,575.0
2021/07/04,521.0
2021/07/05,522.0
2021/07/06,502.0
2021/07/07,522.0
2021/07/08,557.0
2021/07/09,555.0
2021/07/10,551.0
2021/07/11,565.0
2021/07/12,502.0
2021/07/13,519.0
2021/07/14,552.0
2021/07/15,548.0
2021/07/16,546.0
2021/07/17,574.0
2021/07/18,561.0
2021/07/19,529.0
2021/07/20,548.0
2021/07/21,593.0
2021/07/22,593.0
2021/07/23,595.0
2021/07/24,628.0
2021/07/25,632.0
2021/07/26,538.0
2021/07/27,634.0
2021/07/28,673.0
2021/07/29,710.0
2021/07/30,675.0
2021/07/31,684.0
2021/08/01,690.0
2021/08/02,638.0
2021/08/03,710.0
2021/08/04,788.0
2021/08/05,800.0
2021/08/06,829.0
2021/08/07,865.0
2021/08/08,900.0
2021/08/09,836.0
2021/08/10,846.0
2021/08/11,920.0
2021/08/12,922.0
2021/08/13,952.0
2021/08/14,939.0
2021/08/15,982.0
2021/08/16,939.0
2021/08/17,979.0
2021/08/18,982.0
2021/08/19,976.0
2021/08/20,1037.0
2021/08/21,1002.0
2021/08/22,1032.0
2021/08/23,956.0
2021/08/24,1023.0
2021/08/25,1025.0
2021/08/26,1065.0
2021/08/27,1084.0
2021/08/28,1086.0
2021/08/29,1108.0
2021/08/30,1119.0
2021/08/31,1104.0
2021/09/01,1174.0
2021/09/02,1145.0
2021/09/03,1184.0
2021/09/04,1216.0
2021/09/05,1153.0
2021/09/06,1110.0
2021/09/07,1116.0
2021/09/08,1198.0
2021/09/09,1217.0
2021/09/10,1192.0
2021/09/11,1141.0
2021/09/12,1162.0
2021/09/13,1108.0
2021/09/14,1119.0
2021/09/15,1244.0
2021/09/16,1237.0
2021/09/17,1223.0
2021/09/18,1225.0
2021/09/19,1196.0
2021/09/20,1106.0
2021/09/21,1091.0
2021/09/22,1151.0
2021/09/23,1148.0
2021/09/24,1225.0
2021/09/25,1143.0
2021/09/26,1113.0
2021/09/27,1045.0
2021/09/28,1047.0
2021/09/29,1122.0
2021/09/30,1118.0
2021/10/01,1099.0
2021/10/02,1109.0
2021/10/03,1104.0
2021/10/04,1066.0
2021/10/05,1060.0
2021/10/06,1081.0
2021/10/07,1091.0
2021/10/08,1080.0
2021/10/09,1075.0
2021/10/10,1076.0
2021/10/11,1038.0
2021/10/12,1069.0
2021/10/13,1053.0
2021/10/14,1060.0
2021/10/15,1074.0
2021/10/16,1067.0
2021/10/17,1119.0
2021/10/18,999.0
2021/10/19,1015.0
2021/10/20,1044.0
2021/10/21,1057.0
2021/10/22,969.0
2021/10/23,980.0
2021/10/24,931.0
2021/10/25,880.0
2021/10/26,903.0
2021/10/27,938.0
2021/10/28,925.0
2021/10/29,888.0
2021/10/30,882.0
2021/10/31,909.0
2021/11/01,889.0
2021/11/02,883.0
2021/11/03,900.0
2021/11/04,914.0
2021/11/05,877.0
2021/11/06,903.0
2021/11/07,893.0
2021/11/08,858.0
2021/11/09,860.0
2021/11/10,929.0
2021/11/11,918.0
2021/11/12,962.0
2021/11/13,980.0
2021/11/14,1027.0
2021/11/15,984.0
2021/11/16,967.0
